id,label,dataset,subset,file,extension,path
793cfaf2-e9c2-489a-b55f-8c3cfe69c54e,0,dresden,Agfa_DC-504_0,Agfa_DC-504_0_42.JPG,JPG,/datasets/synthbuster/dresden/Agfa_DC-504_0/Agfa_DC-504_0_42.JPG
5027e2eb-7345-4141-bc10-66ec66f5e4ea,0,dresden,Nikon_CoolPixS710_0,Nikon_CoolPixS710_0_12926.JPG,JPG,/datasets/synthbuster/dresden/Nikon_CoolPixS710_0/Nikon_CoolPixS710_0_12926.JPG
129c2bd7-7730-4f97-a727-554f8d4992ce,1,polardiff,DALL.E_3,201b98a0-7cc2-41e7-ad70-d9708fb74263.png,png,/datasets/synthbuster/polardiff/DALL.E_3/201b98a0-7cc2-41e7-ad70-d9708fb74263.png
6684d4e7-55ea-435d-b079-cf188b93d884,1,polardiff,STABLE_DIFFUSION_1.,4b2be209-cc42-4c69-b869-42428f674094.png,png,/datasets/synthbuster/polardiff/STABLE_DIFFUSION_1./4b2be209-cc42-4c69-b869-42428f674094.png
a62440aa-8e3f-45b1-a1ec-9292ac4bb913,0,dresden,Samsung_L74wide,Samsung_L74wide_1_44140.JPG,JPG,/datasets/synthbuster/dresden/Samsung_L74wide/Samsung_L74wide_1_44140.JPG
7c03546b-66c8-4137-b8ad-8ec2d7de9232,1,polardiff,FIREFLY,2408cd6a-104f-4834-a11e-219d4e0b1af1.png,png,/datasets/synthbuster/polardiff/FIREFLY/2408cd6a-104f-4834-a11e-219d4e0b1af1.png
3240cfad-c425-4755-bdd5-ea87fb471683,1,polardiff,DALL.E_2,9f6791f2-52d3-4152-a582-1735cdb30963.png,png,/datasets/synthbuster/polardiff/DALL.E_2/9f6791f2-52d3-4152-a582-1735cdb30963.png
78748d5a-356a-4b71-9d7d-7753f8036835,1,polardiff,DALL.E_2,10de41f1-beb2-4b94-8366-afc02f7f4987.png,png,/datasets/synthbuster/polardiff/DALL.E_2/10de41f1-beb2-4b94-8366-afc02f7f4987.png
bbd48768-32da-42c8-be12-2ed3d397dc4c,0,dresden,Canon_Ixus55_0,Canon_Ixus55_0_2737.JPG,JPG,/datasets/synthbuster/dresden/Canon_Ixus55_0/Canon_Ixus55_0_2737.JPG
dcd9df6c-993e-43d5-84de-3c856c5c8c9c,0,dresden,FujiFilm_FinePixJ50_0,FujiFilm_FinePixJ50_2_9213.JPG,JPG,/datasets/synthbuster/dresden/FujiFilm_FinePixJ50_0/FujiFilm_FinePixJ50_2_9213.JPG
621c1fac-96eb-48e4-b2ca-11e01d8afa66,1,polardiff,GLIDE,a6007e0b-8529-4478-b183-8ce47ed3358c.png,png,/datasets/synthbuster/polardiff/GLIDE/a6007e0b-8529-4478-b183-8ce47ed3358c.png
e65387cc-9f8c-49b1-b08b-49845eeff111,0,dresden,Kodak_M1063_0,Kodak_M1063_2_10693.JPG,JPG,/datasets/synthbuster/dresden/Kodak_M1063_0/Kodak_M1063_2_10693.JPG
cb0af568-1532-458b-b673-090ba342919f,0,dresden,Samsung_L74wide,Samsung_L74wide_1_44189.JPG,JPG,/datasets/synthbuster/dresden/Samsung_L74wide/Samsung_L74wide_1_44189.JPG
ccd50736-8221-4bc0-80af-7a0ac0540765,1,polardiff,DALL.E_2,7e08f322-5e0a-49b4-8bec-f3fb63b4c086.png,png,/datasets/synthbuster/polardiff/DALL.E_2/7e08f322-5e0a-49b4-8bec-f3fb63b4c086.png
d876ab58-915b-4938-8869-50e1b2a53963,1,polardiff,FIREFLY,cb8d2335-88ab-4663-956f-9f90939a9264.png,png,/datasets/synthbuster/polardiff/FIREFLY/cb8d2335-88ab-4663-956f-9f90939a9264.png
96bcbf86-2743-4ea5-a5b1-340ea708bbe1,1,polardiff,GLIDE,81cf7048-d2e3-4f8d-a7d3-17911722fc0f.png,png,/datasets/synthbuster/polardiff/GLIDE/81cf7048-d2e3-4f8d-a7d3-17911722fc0f.png
006174db-54e7-47f4-979c-30805895ee4e,0,dresden,Sony_DSC_T77,Sony_DSC-T77_0_48672.JPG,JPG,/datasets/synthbuster/dresden/Sony_DSC_T77/Sony_DSC-T77_0_48672.JPG
